CID,Plant absorption and mobility,Soil absorption and mobility,Plant bioconcentrations,Terrestrial animals bioconcentrations,Aquatic animals bioconcentrations,Sediment and soil bioconcentrations,Aerobic degradation,Anaerobic degradation
16129778,0,0,0,0,0,0,0,0
16132283,0,0,0,0,0,0,0,0
1617113,1,0,0,0,0,0,0,0
16180,0,0,0,0,0,1,1,1
16181,1,1,0,0,0,1,1,1
16183,0,0,1,0,0,0,1,1
16211214,1,0,0,0,0,0,1,1
16212360,0,1,1,0,0,0,1,1
16213016,1,0,0,0,0,0,0,0
16238,0,0,0,0,0,1,0,0
16247,0,1,0,0,0,0,1,1
16248,0,1,0,0,0,0,1,1
162839,1,0,0,0,0,0,0,0
163659,0,0,0,0,0,0,0,0
1639,1,0,0,0,0,0,0,0
16402,0,1,0,0,0,0,1,1
16421,0,0,0,0,0,1,0,0
1647,0,0,0,0,0,0,0,0
16554,0,1,0,0,0,0,1,1
16559,1,0,0,0,0,0,0,0
16562,1,1,0,0,0,0,1,1
16565,0,1,0,0,0,0,1,1
16591,0,1,0,0,0,0,0,0
16606,0,1,0,0,0,0,1,1
16653,1,1,0,1,0,1,1,1
16656802,1,0,0,0,0,0,0,0
16682730,0,1,1,0,0,0,1,1
16682734,0,0,0,0,0,0,0,0
16682738,0,0,0,1,1,1,0,0
16682746,0,0,0,0,1,1,0,0
16682804,0,1,0,0,0,1,1,1
16682924,0,1,0,0,0,0,1,1
16682942,0,1,0,0,0,0,1,1
16686,0,0,0,0,0,0,0,0
16692,0,0,0,1,1,1,0,0
16693908,0,1,1,0,0,0,0,0
16704,0,1,0,0,0,0,0,0
16724,1,0,0,0,0,0,0,0
1674,0,0,0,0,0,1,0,0
16752772,1,0,0,0,0,0,0,0
16774,0,0,0,0,0,0,0,0
168266382,0,0,0,0,0,0,0,0
16850,0,1,0,0,0,0,0,0
16907,0,0,0,0,0,0,0,0
16930,0,0,0,0,0,1,0,0
16932,0,1,1,1,1,1,1,1
16945,1,1,0,1,1,1,1,1
170356,1,0,0,0,0,0,0,0
17038,1,1,0,0,0,0,1,1
17041,0,1,0,0,0,0,0,0
17049,0,1,0,0,0,0,0,0
17095,0,1,0,0,0,0,1,1
17109,0,1,1,0,0,0,1,1
17110,0,1,0,0,0,0,1,1
17112,1,0,0,0,0,0,0,0
171548,0,0,0,0,0,0,0,0
17168,0,1,0,0,0,0,0,0
17169,1,0,0,0,0,0,0,0
17271,0,0,0,0,0,0,0,0
17312,0,0,0,0,0,0,1,1
1732,0,0,0,0,0,1,0,0
17334,1,0,0,0,0,0,0,0
17345,0,1,1,0,0,0,1,1
17358,0,1,0,0,0,1,0,0
173964,1,0,0,0,0,0,0,0
17423,1,0,0,0,0,0,0,0
17432,0,1,0,0,0,1,1,1
17434,1,1,1,0,0,0,1,1
17435,0,1,0,0,0,1,1,1
17516,0,1,0,0,0,0,1,1
1752,0,0,1,1,1,1,0,0
17521,1,0,0,0,0,0,0,0
17531,0,1,1,1,1,1,1,1
17532,0,0,0,1,0,0,0,0
17564,0,0,0,0,0,0,0,0
17581,1,1,0,0,0,1,1,1
17596,0,0,1,0,0,1,0,0
175967,1,0,0,0,0,0,0,0
176,0,1,1,1,1,1,1,1
17607,0,0,0,0,0,0,0,0
17693,0,1,0,0,0,0,0,0
177,0,1,1,0,0,0,1,1
17717,0,1,0,0,0,0,0,0
17747875,1,0,0,0,0,0,0,0
1775,0,0,0,0,0,0,0,0
178117,1,0,0,0,0,0,0,0
178795,1,0,0,0,0,0,0,0
179,0,1,0,0,0,0,1,1
180,0,1,1,0,0,1,1,1
180089,1,0,0,0,0,0,0,0
18052,0,1,0,0,0,0,0,0
18086,0,0,0,0,0,0,1,1
18290,1,1,0,0,0,0,1,1
182951,1,0,0,0,0,0,0,0
18381,0,0,0,0,0,0,0,0
18430,0,0,0,0,0,0,1,1
184601,1,0,0,0,0,0,0,0
184900,1,0,0,0,0,0,0,0
184933,0,0,0,0,0,0,0,0
18523,0,0,0,0,0,0,1,1
18541957,0,0,0,0,0,1,0,0
18555,0,0,0,0,1,0,0,0
18609,0,0,0,0,0,0,0,0
18621,0,0,0,0,0,0,0,0
18629822,1,0,0,0,0,0,0,0
18635,0,0,1,0,1,0,0,0
18636,0,0,1,1,1,1,0,0
18728,0,0,0,1,1,1,0,0
18752,1,0,0,0,0,0,0,0
18771,0,1,0,0,0,0,0,0
18932,0,1,1,1,1,1,1,1
19090,0,0,0,0,0,0,0,0
19092,0,0,0,0,0,1,0,0
19150,0,0,0,0,0,0,0,0
19190,0,0,0,0,0,0,0,0
19232,0,0,0,0,0,0,0,0
19283,0,0,0,0,0,1,0,0
19284,0,1,0,0,0,1,1,1
19309,0,0,1,1,0,0,0,0
19395,0,1,0,0,0,1,0,0
19402,1,0,0,1,0,0,0,0
19427,0,0,0,0,0,1,0,0
19493,0,0,0,0,0,0,0,0
19519,0,0,0,0,1,0,1,1
19520,0,0,0,1,1,1,0,0
19539,1,0,0,0,0,0,0,0
19588,1,0,0,0,0,0,0,0
196,0,1,1,0,0,1,1,1
19649,0,1,0,0,1,0,0,0
19662,1,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0
197225,1,0,0,0,0,0,0,0
19736,0,0,0,0,1,0,0,0
19756,1,0,0,0,0,0,0,0
1982,1,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0
1988,1,0,0,0,0,1,0,0
1989,0,0,0,0,0,0,0,0
20105,1,0,0,0,0,0,0,0
20138,0,1,1,0,1,0,1,1
2019,0,0,0,0,0,0,0,0
20226,1,0,0,0,0,0,0,0
20382,0,0,0,1,1,0,0,0
20593234,1,0,0,0,0,0,0,0
2078,1,1,1,0,0,0,1,1
2082,1,0,0,0,0,0,0,0
20824,0,0,0,0,0,0,0,0
20848,1,1,0,0,0,0,1,1
2086,0,1,1,0,0,1,1,1
2087,0,1,1,1,1,1,1,1
21013,0,0,0,1,1,1,0,0
210326,1,0,0,0,0,0,0,0
21152,0,0,0,0,0,0,1,1
2124,0,0,0,0,0,0,0,0
2130,0,0,0,0,0,0,0,0
213012,1,0,0,0,0,0,0,0
213013,1,0,0,1,0,1,0,0
213016,0,0,0,1,1,1,0,0
213021,1,0,1,1,0,0,0,0
213032,1,0,0,0,0,0,0,0
21307,1,1,0,0,0,0,1,1
21330,1,1,0,0,0,0,1,1
2148,0,0,0,0,0,0,0,0
21480,0,0,0,0,0,1,0,0
21492,0,0,0,0,0,0,0,0
2153,0,0,0,0,0,0,0,0
21593892,0,0,0,0,1,0,0,0
2160,0,0,0,0,0,1,0,0
2164,0,0,0,0,0,0,0,0
21648,0,0,1,1,0,0,0,0
21694,0,0,1,0,0,1,0,0
21871655,1,0,0,0,0,0,0,0
21873022,1,0,0,0,0,0,0,0
21888690,1,0,0,0,0,0,0,0
21917771,0,0,0,0,0,0,0,0
21921,0,0,0,0,0,0,0,0
21929,1,0,0,0,0,0,0,0
21954,1,1,1,0,0,1,1,1
2197,0,0,0,0,0,0,0,0
22094,0,1,0,0,0,0,1,1
